blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13076925,1629659306,0x9f8d36af78b228eba588b2d87f332d567c3094243c817d62189223c158b0cdce,321,0xbcdd0c7e75d8aec073346119c5215677f717be507877cacc8a606d7a3431dbd6,123,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6d892a5585f45f3c45a238c717aa0a228ae69e2c,0,42313,39903507890,0,1,,28209,transaction,1.12564E+15
13076932,1629659379,0x01a3a3c1ab3d0518454a7a559384cc47873e2f893ce973b698a60c8dc683d50a,322,0x4a8eb7e1434eedfb23c81cc8a7f457b78ba071b11d2ef8fac7c7a9634dd290e4,236,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x22d07f42cf4d077e765560ff6a741ef8e851091c,0,42345,38392095220,0,1,,28230,transaction,1.08381E+15
13076933,1629659398,0x53e8565be56213073d8a8bf51873010a5f76e49b2263879a0a1baf0176eec8bb,323,0xabd97191f72a03561587796ad57b359674e5a68df7bea2013cf9bd5b8a813a91,261,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6c0496fc55eb4089f1cf91a4344a2d56face51e3,0,42280,42939910384,0,1,,28187,transaction,1.21035E+15
13085450,1629773532,0x5a15f23b8f02b356d6a02235c8c0b4fa74bb0275688e5956905bcd3a1e491f59,324,0x8564b7b0d29e59cc80954fa1f74373689103d424032c4b2a72f9c2a885a9932b,65,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xa2a182c5b5ea1a3c90cb5bb718f9e62dbe052927,0,1057051,73485805175,0,1,,624461,transaction,4.59E+16
13092067,1629861498,0x591cfa32137a39b34d55a0ae510ee0446a0745af700ce21647a2523a95270175,325,0x3558062ca87e231bf25ee7096c5fe7dca8c8384523d1045ebe4f8a8f1953e717,466,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,90726,60000000000,0,1,,60035,transaction,3.6021E+15
13092070,1629861536,0x229e1102b50278aa379d53c806cc2fb964896bc276b2ef123fe284c193ee63a7,326,0xede19bcd1948b6ea26cb3904a6931fd4ae1893b41a6218eb231cca938e581660,86,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x597ad1e0c13bfe8025993d9e79c69e1c0233522e,0,315148,66913193105,0,1,,205299,transaction,1.37E+16
13092085,1629861787,0xfc95675b09218e8f7fc742511cda723f6ffb4362525c41aff938c75a1e833c5f,327,0x2464bc77d0a19db0eda8e8111cecc2c1b2d8867d460f8c418026664f8e5307d4,68,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,1000000,75759863649,0,1,,149664,transaction,1.13E+16
13096715,1629924050,0x46f34dbe07f3bd5ec40cabc126830c2f01113d035dd767272b67cc5d9f0252b4,328,0x6b351923a9e1ba934cc1a53458f84ab2b01cc527f18fd5dcbedf1825902d2baa,284,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb71252d990483079ccf76a85b623059b5e33d3db,0,1126495,80000000000,0,1,,659426,transaction,5.28E+16
13096784,1629925111,0x0dacc12961e0d0a05e6c2fb86437334d6bf3a1803769b5d57619b47a544b8178,329,0x9da9d3c8236020c04553a76c685726ba79b5871225eb23244e0768c85728a92d,165,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x95730d3e374b5e1f5b550af059af86d23fea79e3,0,1270188,90000000000,1,0,,821575,transaction,7.39E+16
13097837,1629938737,0x1927b0d5747c42ec0832078ef9704ddf5a47d27d4d0052e0560baf6b077f1ea8,330,0xb5325f14e4b63c0fbb6901925c449abc9687f0f8e00a70ba5af27a6bca1ced8d,111,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb71252d990483079ccf76a85b623059b5e33d3db,0,436117,80000000000,0,1,,259106,transaction,2.07E+16
